name,latitude,longitude,free_bikes,empty_slots,total_number_bikes,station_id
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0
Saint Lambert - Blomet,48.83659148147257,2.2930556908249855,22,3,25,1
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2
Mairie de Rosny-sous-Bois,48.871256519012,2.4865807592869,17,8,25,3
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,3,25,28,4
Pernety - Raymond Losserand,48.834254627953,2.317609339387,13,17,30,5
Champs de Manoeuvre - Cartoucherie,48.835261,2.447974,18,17,35,6
Belleville - Télégraphe,48.8756045,2.3995549,7,34,41,7
Abbeville - Faubourg Poissonnière,48.879223,2.349147,9,4,13,8
Porte de Pantin.,48.889199725577,2.3950181901455,6,25,31,9
Passy - Place du Costa Rica,48.8584893,2.2839655,9,22,31,10
Miromesnil - La Boétie,48.873722412917,2.3158480972052,2,32,34,11
Place Etienne Pernet,48.84243457133779,2.2921819612383847,38,3,41,12
Bons Raisins - Voltaire,48.87282451461399,2.1947155570850896,6,17,23,13
Saint-Augustin,48.8762009747008,2.319786250591278,4,40,44,14
Lecourbe - Jean Maridor,48.83796366147599,2.2877392172813416,17,1,18,15
Colonel Monteil - Brune,48.82650293311,2.3092747998272,2,17,19,16
République - Auguste Perret,48.78695280952244,2.3518594354391094,7,22,29,17
Marcel Pourtout - Édouard Manet ,48.87555620763429,2.1655967831611638,9,15,24,18
Port Royal - Hôpital Cochin,48.838608030238,2.3406994164846,1,19,20,19
Adolphe Pinard - Victor Hugo,48.8236825874564,2.3077843710780144,6,45,51,20
Claude Decaen - Cannebière,48.83761417037952,2.397253782195704,16,11,27,21
Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,22,3,25,22
Mornay - Sully,48.84970399548416,2.364460788667202,13,2,15,23
Suzanne Masson,48.923306888013,2.3847292397611,19,17,36,24
Legendre - Clichy,48.88896161855884,2.322528975094376,7,32,39,25
Place Charles de Gaulle,48.826073335699,2.1894485725692,10,14,24,26
Roquette - Auguste Laurent,48.858001906023354,2.381797702650783,15,0,15,27
Bridaine - Lamandé,48.8862074,2.3206239,7,21,28,28
Ney - Porte de Montmartre,48.897918,2.3364872,19,3,22,29
Place du Canada,48.865346269363,2.3101937879648,8,49,57,30
Francoeur - Marcadet,48.89104123261663,2.340014585442034,9,10,19,31
Georges V - François 1er,48.87034,2.30082,2,20,22,32
Gare de Pont-Cardinet,48.88713901475306,2.314494143994255,11,23,34,33
Square Pierre Lazareff,48.867141720746,2.3483933508396,4,13,17,34
Marceau - Chaillot,48.868834023334,2.2986030816809,3,16,19,35
Vaugirard - Monsieur le Prince,48.848951441614,2.3411329463124,1,25,26,36
Edouard Vaillant - Galliéni,48.858462881661,2.4147954583168,13,35,48,37
Gare Rosny-Bois-Perrier,48.88115023337061,2.480436824262142,18,15,33,38
Condorcet - Turgot,48.87985155789093,2.345232367515564,5,12,17,39
Cordelières - Arago,48.83548071896613,2.348572461702221,28,12,40,40
Le Brix et Mesmin - Jourdan,48.82234096593411,2.327861653302471,2,17,19,41
Mairie du 2ème,48.8672190355135,2.3404625437747044,3,25,28,42
Philippe-Auguste,48.851853488265,2.3932945355773,4,44,48,43
Charles Delescluze,48.85242200848887,2.380632497370243,21,27,48,44
Place de la Montagne du Goulet,48.8443415,2.2773844,20,0,20,45
Place de la Madeleine - Royale,48.869228052648,2.324421107769,4,37,41,46
Geoffroy-Saint-Hilaire - Saint-Marcel,48.83907826424974,2.356877340669728,15,0,15,47
Le Corbusier - Jean Jaurès,48.83780830557548,2.2408381104469304,35,9,44,48
