station,name,distance,address,category
0,Livio,626,6 rue de Longchamp,Pizzeria
0,Maison Wok,494,4 rue des Poissonniers,Thai Restaurant
0,Les Pieds dans l'Eau,448,39 boulevard du Parc,French Restaurant
0,Big Fernand,506,142 avenue Charles de Gaulle,Burger Joint
0,Le Nouveau Paris,700,204 boulevard Bineau,Café
0,Pret,680,118 avenue Charles de Gaulle,Sandwich Spot
0,Chez Thai,399,4 rue de l'Eglise,Thai Restaurant
0,Shinjuku,594,2 rue de Longchamps,Pizzeria
0,Polly Maggoo,599,1 rue de Longchamp,Bistro
0,Jour,996,12 rue d'Orléans,Fast Food Restaurant
0,Nori Sushi,352,17 rue Paul Chatrousse,Asian Restaurant
0,La Cui-z-ine,352,33 rue des Poissonniers,Fast Food Restaurant
0,Daikichi II,356,183 avenue Achille Peretti,Brasserie
0,Epicerie Ibdihi,358,11 rue Paul Chatrousse,Deli
0,Pasta Lovers,415,16 rue Garnier,Bar
0,Le Simanthe,430,17 rue Garnier,Restaurant
0,Temps Libres,457,158 avenue Charles de Gaulle,Coffee Shop
0,Brasserie le Centre,462,157 avenue Achille Peretti,French Restaurant
0,Boco,498,146 avenue Charles de Gaulle,Burger Joint
0,Bar-Tabac le Sainte Foy,528,4 avenue Sainte-Foy,Café
0,Grill Croute,531,186 avenue Charles de Gaulle,Falafel Restaurant
0,Ck Resto,540,6 boulevard du Général Leclerc,Restaurant
0,La Maison Épicure,564,137-145 avenue Achille Peretti,French Restaurant
0,Gloria,565,4 avenue de Madrid,Italian Restaurant
0,Caviar Volga,569,31 boulevard Paul Emile Victor,Restaurant
0,Niagara,1000,20 rue de l'Hôtel de Ville,French Restaurant
0,Le Pavillon Augustin,597,28 quai du Président Paul Doumer,Café
0,La Petite Folie,602,2 rue du Général Henrion Bertier,French Restaurant
0,Delicio,611,151 avenue Charles de Gaulle Neuilly,Sandwich Spot
0,Nouvelle Etoile,657,9 rue Charcot,Thai Restaurant
0,Bichoul,660,8 bis rue Sainte-Marie,BBQ Joint
