station_name,latitude,longitude,free_bikes,empty_slots,total_number_bikes,station_id,poi_name,distance,address,rating
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,La Boutarde,587.1691431050516,4 rue Boutard,4.5
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Le Petit Poucet,950.3178195345672,4 rond point Claude Monet,3.5
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Papinou,159.0310277767115,26 Château,3.2
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Neuilly's,668.8688066863705,14 rue Longchamp,4.8
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Lily de Neuilly,691.7966320401799,59 rue Chauveau,4.4
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Chez Livio,627.7905207151863,6 rue de Longchamp,3.3
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Les Pieds dans l'Eau,442.3880877395736,39 rue du Parc,3.1
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Le Nouveau Paris,698.7421930578129,204 boulevard Bineau,3.8
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,La Ferme de l'Aveyron,547.4401330979381,186 ave Charles de Gaulle,3.7
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,La Guinguette de Neuilly,726.7743804648763,12 boulevard Georges Seurat,3.1
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Ribote,352.31905401788373,17 rue Paul Chatrousse,3.6
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Zinc Zinc,557.7975772637059,209 ter avenue Charles de Gaulle,3.4
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Eboli,375.3147060748715,20 rue Bailly,3.0
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Daikichi,353.6548642322937,183 ave Achille Peretti,3.0
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Piccolo Mondo,669.4284897838063,11 rue Longchamp,2.9
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Bistrot du Parc,455.4026214432299,15 bd Jean Mermoz,3.4
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Mona,356.3103924868214,38 rue des Poissonniers,4.065355850422195
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Le Village À Neuilly,674.4223108564928,175 ave Charles de Gaulle,3.4
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,La Place,516.0496120513061,4 avenue Sainte Foy,3.3
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Sushi Shop,507.99253555321,146 bis ave Charles de Gaulle,3.5
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Tommasino,521.6498424884369,3 rue des Huissiers,2.6
Argenson - Château,48.888559314669514,2.2642001509666447,6,16,22,0,Le PasSage,656.2571792771769,147 ave Charles de Gaulle,3.0
